source,target,ChineseSimplified,ChineseTraditional,Czech,Dutch,Farsi,French,German,Hebrew,Italian,Polish,Portuguese,Russian,Serbian,Slovak,Slovenian,Spanish,Turkish,location,context
_123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,xml,123
a_record,A Record,A记录,A,Záznam,A Record,???,Enregistrement,Aufzeichnung,?????,A record,Nagranie,Uma grava??o,A-запись,А Рецорд,Nahrávka,Zapis,Un Record,bir Kay?t,js,32
account,Account,账户,~,ú?et,Account,????,Compte,Konto,??????????,account,Konto,Conta,Аккаунт,Рачун,ú?et,ra?un,Cuenta,Hesap,js,213
Account,Account,账号,~,ú?et,Account,????,Account,Konto,??????????,Account,Konto,Conta,Аккаунт,Рачун,ú?et,ra?un,Cuenta,hesap,js,3213
Account,Account,账号,~,ú?et,Account,????,Compte,Konto,?????,Account,Konto,Conta,Аккаунт,Рачун,ú?et,Ra?un,Cuenta,Hesap,xml,123
account_1,Account Test1,账户 1,~1,ú?et 1,Account 1,?????? 1,Compte 1,Konto 1,????? 1,Account 1,Konto 1,Conta 1,Аккаунт1,Рачун 1,ú?et 1,Ra?un 1,cuenta 1,hesap 1,js,12
account_10,Account 10,账户 10,~10,ú?et 10,Account 10,?????? 10,Compte 10,Konto 10,????? 10,Account 10,Konto 10,Conta 10,Аккаунт10,Рачун 10,ú?et 10,Ra?un 10,cuenta 10,hesap 10,js,3
account_11,Account 11,账户 11,~11,ú?et 11,Account 11,?????? 11,Compte 11,Konto 11,????? 11,Account 11,Konto 11,Conta 11,Аккаунт11,Рачун 11,ú?et 11,Ra?un 11,cuenta 11,hesap 11,js,3
account_12,Account 12,账户 12,~12,ú?et 12,Account 12,?????? 12,Compte 12,Konto 12,????? 12,Account 12,Konto 12,Conta 12,Аккаунт12,Рачун 12,ú?et 12,Ra?un 12,cuenta 12,hesap 12,js,12
account_13,Account 13,账户 13,~13,ú?et 13,Account 13,?????? 13,Compte 13,Konto 13,????? 13,Account 13,Konto 13,Conta 13,Аккаунт13,Рачун 13,ú?et 13,Ra?un 13,cuenta 13,hesap 13,js,43254342
account_14,Account 14,账户 14,~14,ú?et 14,Account 14,?????? 14,Compte 14,Konto 14,????? 14,Account 14,Konto 14,Conta 14,Аккаунт14,Рачун 14,ú?et 14,Ra?un 14,cuenta 14,hesap 14,js,5
account_15,Account 15,账户 15,~15,ú?et 15,Account 15,?????? 15,Compte 15,Konto 15,????? 15,Account 15,Konto 15,Conta 15,Аккаунт15,Рачун 15,ú?et 15,Ra?un 15,cuenta 15,hesap 15,js,gdfg
account_16,Account 16,账户 16,~16,ú?et 16,Account 16,?????? 16,Compte 16,Konto 16,????? 16,Account 16,Konto 16,Conta 16,Аккаунт16,Рачун 16,ú?et 16,Ra?un 16,cuenta 16,hesap 16,js,gdfsfd
account_2,Account 2,账户 2,~2,ú?et 2,Account 2,?????? 2,Compte 2,Konto 2,????? 2,Account 2,Konto 2,Conta 2,Аккаунт2,Рачун 2,ú?et 2,Ra?un 2,cuenta 2,hesap 2,js,v234trewf
account_3,Account 3,账户 3,~3,ú?et 3,Account 3,?????? 3,Compte 3,Konto 3,????? 3,Account 3,Konto 3,Conta 3,Аккаунт3,Рачун 3,ú?et 3,Ra?un 3,cuenta 3,hesap 3,js,34ef
account_4,Account 4,账户 4,~4,ú?et 4,Account 4,?????? 4,Compte 4,Konto 4,????? 4,Account 4,Konto 4,Conta 4,Аккаунт4,Рачун 4,ú?et 4,Ra?un 4,cuenta 4,hesap 4,js,42
account_5,Account 5,账户 5,~5,ú?et 5,Account 5,?????? 5,Compte 5,Konto 5,????? 5,Account 5,Konto 5,Conta 5,Аккаунт5,Рачун 5,ú?et 5,Ra?un 5,cuenta 5,hesap 5,js,
account_6,Account 6,账户 6,~6,ú?et 6,Account 6,?????? 6,Compte 6,Konto 6,????? 6,Account 6,Konto 6,Conta 6,Аккаунт6,Рачун 6,ú?et 6,Ra?un 6,cuenta 6,hesap 6,js,f324
account_7,Account 7,账户 7,~7,ú?et 7,Account 7,?????? 7,Compte 7,Konto 7,????? 7,Account 7,Konto 7,Conta 7,Аккаунт7,Рачун 7,ú?et 7,Ra?un 7,cuenta 7,hesap 7,js,ff
